Id,Date,Text,Combined
588,6.18.2021,"When life throws you a taco, eat it","6.18.2021  When life throws you a taco, eat it"
589,6.17.2021,We just unplugged our margarita machine to save texas,6.17.2021  We just unplugged our margarita machine to save texas
590,6.16.2021,No one says wooooow longer than a guy who’s been accused of something he did,6.16.2021  No one says wooooow longer than a guy who’s been accused of something he did
591,6.15.2021,Introverts unite! Separately! In our own homes,6.15.2021  Introverts unite! Separately! In our own homes
592,6.14.2021,I’m stayin home today I have mood poisoning,6.14.2021  I’m stayin home today I have mood poisoning
593,6.11.2021,Dont you hate it when people answer their own questions? I do,6.11.2021  Dont you hate it when people answer their own questions? I do
594,6.10.2021,"Attn: due to tacos, & queso, my summer body will be postponed another year","6.10.2021  Attn: due to tacos, & queso, my summer body will be postponed another year"
595,6.9.2021,"I’m a tacoterian… ya know, when you only eat tacos","6.9.2021  I’m a tacoterian… ya know, when you only eat tacos"
596,6.8.2021,Honestly as long as you’re happy who the hell cares,6.8.2021  Honestly as long as you’re happy who the hell cares
597,6.7.2021,People say I’m condescending (that means I talk down to people),6.7.2021  People say I’m condescending (that means I talk down to people)
598,6.4.2021,Every kiss begins with queso,6.4.2021  Every kiss begins with queso
599,6.3.2021,"There are two types of people inbox: 0 inbox: 2,329","6.3.2021  There are two types of people inbox: 0 inbox: 2,329"
600,6.2.2021,As a child I never imagined I’d be attracted to butts,6.2.2021  As a child I never imagined I’d be attracted to butts
601,6.1.2021,I need to teach my facial expressions how to use their inside voice,6.1.2021  I need to teach my facial expressions how to use their inside voice
602,5.28.2021,Zoom! Yall are outta here congrats class of 2021,5.28.2021  Zoom! Yall are outta here congrats class of 2021
603,5.27.2021,Feeling sad that soon I will no longer be able 2 cancel plans “due to covid”,5.27.2021  Feeling sad that soon I will no longer be able 2 cancel plans “due to covid”
604,5.26.2021,Bennifer is back…nature is healing,5.26.2021  Bennifer is back…nature is healing
605,5.25.2021,Shoutout 2 anyone who got thru today without a nap! Pulling an all-dayer is tough,5.25.2021  Shoutout 2 anyone who got thru today without a nap! Pulling an all-dayer is tough
606,5.24.2021,Calories? I think you mean delicious points.,5.24.2021  Calories? I think you mean delicious points.
607,5.21.2021,When I say “I’m hungry” we got about 23 min until I’m a different person,5.21.2021  When I say “I’m hungry” we got about 23 min until I’m a different person
608,5.20.2021,Let your weirdo light shine bright so other weirdos can find you.,5.20.2021  Let your weirdo light shine bright so other weirdos can find you.
609,5.19.2021,Bee hives: Natures honey bunches of nopes,5.19.2021  Bee hives: Natures honey bunches of nopes
610,5.18.2021,"Some women want to be wined & dined, I want to be margarita’d and taco’d","5.18.2021  Some women want to be wined & dined, I want to be margarita’d and taco’d"
611,5.17.2021,Leave me alone but also give me constant attention,5.17.2021  Leave me alone but also give me constant attention
612,5.14.2021,The struggle bus should have a loyalty rewards program.,5.14.2021  The struggle bus should have a loyalty rewards program.
613,5.13.2021,We might run out of gas but we will never run out of margaritas!,5.13.2021  We might run out of gas but we will never run out of margaritas!
614,5.12.2021,Texas leads the way (with margaritas!),5.12.2021  Texas leads the way (with margaritas!)
615,5.11.2021,Do or do not there is no try,5.11.2021  Do or do not there is no try
616,5.10.2021,I just know I’ll die trying to pet something I shouldn’t,5.10.2021  I just know I’ll die trying to pet something I shouldn’t
617,5.7.2021,"I stopped believing for a little while this morning, Journey is gonna be so pissed","5.7.2021  I stopped believing for a little while this morning, Journey is gonna be so pissed"
618,5.6.2021,"I’m not aging like wine, I’m aging like milk–getting sour & chunky","5.6.2021  I’m not aging like wine, I’m aging like milk–getting sour & chunky"
619,5.5.2021,"The world is your taco, fill it with what you want","5.5.2021  The world is your taco, fill it with what you want"
620,5.4.2021,Some days the supply of available curse words is insufficient to meet my demands,5.4.2021  Some days the supply of available curse words is insufficient to meet my demands
621,5.3.2021,"We wanted to be adults so bad, now look at us","5.3.2021  We wanted to be adults so bad, now look at us"
622,4.30.2021,Him: How is it possible that your still single?,4.30.2021  Him: How is it possible that your still single?
623,4.29.2021,Have your margarita and drink it too,4.29.2021  Have your margarita and drink it too
624,4.28.2021,Parking is such a street sorrow,4.28.2021  Parking is such a street sorrow
625,4.27.2021,Get your two shots* here,4.27.2021  Get your two shots* here
626,4.26.2021,Ever notice that 2021 is pronounced 2020 won,4.26.2021  Ever notice that 2021 is pronounced 2020 won
627,4.23.2021,"A coach, a musician & an actor walk into a room: Tune in to MJ&M virtual tonight!","4.23.2021  A coach, a musician & an actor walk into a room: Tune in to MJ&M virtual tonight!"
628,4.22.2021,"Elon, you Musk come have a drink here","4.22.2021  Elon, you Musk come have a drink here"
629,4.21.2021,Sign for sale! (Need bad bunny tix),4.21.2021  Sign for sale! (Need bad bunny tix)
630,4.20.2021,Sending thoughts and prayers to Taco Bells everywhere today,4.20.2021  Sending thoughts and prayers to Taco Bells everywhere today
631,4.19.2021,Tag a friend to make them open their phone for no reason,4.19.2021  Tag a friend to make them open their phone for no reason
632,4.16.2021,Did you know that 2-3 marks a day can reduce your chance of giving a sh*t?,4.16.2021  Did you know that 2-3 marks a day can reduce your chance of giving a sh*t?
633,4.15.2021,I wish I could drop off my body at the gym and pick it up when it’s ready,4.15.2021  I wish I could drop off my body at the gym and pick it up when it’s ready
634,4.14.2021,The only thing that’s ever in bed with me is crumbs,4.14.2021  The only thing that’s ever in bed with me is crumbs
635,4.13.2021,Baseball? You mean that game from Twilight?,4.13.2021  Baseball? You mean that game from Twilight?
636,4.12.2021,Not all German Shepherds are dogs,4.12.2021  Not all German Shepherds are dogs
637,4.9.2021,Margarita… who else is doing it like her,4.9.2021  Margarita… who else is doing it like her
638,4.8.2021,If you say gullible really slow it sounds like orange,4.8.2021  If you say gullible really slow it sounds like orange
639,4.7.2021,Be + stay –,4.7.2021  Be + stay –
640,4.6.2021,I’m really tired of life throwing me curveballs. When does it throw tacos?,4.6.2021  I’m really tired of life throwing me curveballs. When does it throw tacos?
641,4.5.2021,Ran out of margarita fixin’s… I’m living on borrowed lime,4.5.2021  Ran out of margarita fixin’s… I’m living on borrowed lime
642,4.1.2021,What if you pronounced female like tamale,4.1.2021  What if you pronounced female like tamale
643,3.31.2021,We really missed the boat on our Suez Canal joke,3.31.2021  We really missed the boat on our Suez Canal joke
644,3.30.2021,Don’t get your Giseles in a Bundchen,3.30.2021  Don’t get your Giseles in a Bundchen
645,3.29.2021,Drinking coffee in the morning helps others live longer,3.29.2021  Drinking coffee in the morning helps others live longer
646,3.26.2021,You’re the yee to my haw,3.26.2021  You’re the yee to my haw
647,3.25.2021,I have never faked a sarcasm in my life,3.25.2021  I have never faked a sarcasm in my life
648,3.24.2021,Reintarnation: When you come back as a hillbilly,3.24.2021  Reintarnation: When you come back as a hillbilly
649,3.23.2021,Nachos are just tacos that don’t have their life together,3.23.2021  Nachos are just tacos that don’t have their life together
650,3.22.2021,Who’s ready for some precedented times?!?!,3.22.2021  Who’s ready for some precedented times?!?!
651,3.19.2021,"If you see a toilet in your dream, do not use it!!","3.19.2021  If you see a toilet in your dream, do not use it!!"
652,3.18.2021,How does popcorn even do that thing,3.18.2021  How does popcorn even do that thing
653,3.17.2021,I drink margaritas to sanitize my insides,3.17.2021  I drink margaritas to sanitize my insides
654,3.16.2021,"Ran out of coffee this AM, so I used tequila. Everyone is so pretty today!","3.16.2021  Ran out of coffee this AM, so I used tequila. Everyone is so pretty today!"
655,3.15.2021,"Dear taco trucks, please consider cruising the neighborhoods like ice cream trucks","3.15.2021  Dear taco trucks, please consider cruising the neighborhoods like ice cream trucks"
656,3.12.2021,"Alright 2020, take off the wig, we know it’s you.","3.12.2021  Alright 2020, take off the wig, we know it’s you."
657,3.11.2021,Listen… best friends don’t pee on your shoes,3.11.2021  Listen… best friends don’t pee on your shoes
658,3.10.2021,I never finish anything… I have a black belt in partial arts,3.10.2021  I never finish anything… I have a black belt in partial arts
659,3.9.2021,I never realize how much I swear until I’m in a situation where I can’t,3.9.2021  I never realize how much I swear until I’m in a situation where I can’t
660,3.8.2021,"Cheers to strong women! May we know them, may we be them, may we raise them.","3.8.2021  Cheers to strong women! May we know them, may we be them, may we raise them."
661,3.5.2021,Oh to be music historian in the 3082 searching for the four lost mambos,3.5.2021  Oh to be music historian in the 3082 searching for the four lost mambos
662,3.4.2021,"I wanna guac & roll all night, and margarita every day","3.4.2021  I wanna guac & roll all night, and margarita every day"
663,3.3.2021,I changed my computer passwords to Kenny so now I have all Kenny Loggins,3.3.2021  I changed my computer passwords to Kenny so now I have all Kenny Loggins
664,3.2.2021,Who else still processing last March?,3.2.2021  Who else still processing last March?
665,3.1.2021,I wear the mask to protect those closest to me,3.1.2021  I wear the mask to protect those closest to me
666,2.26.2021,"I don’t have exes, I have why’s","2.26.2021  I don’t have exes, I have why’s"
667,2.25.2021,Did it bother anyone else that the guy from the Operation game was clearly awake?,2.25.2021  Did it bother anyone else that the guy from the Operation game was clearly awake?
668,2.24.2021,"Wow, your eyes are so much more noticeable – it must be the mast era","2.24.2021  Wow, your eyes are so much more noticeable – it must be the mast era"
669,2.23.2021,We now continue with our regularly scheduled pandemic,2.23.2021  We now continue with our regularly scheduled pandemic
670,2.22.2021,I’m just doing my part to conserve water… by drinking margaritas,2.22.2021  I’m just doing my part to conserve water… by drinking margaritas
672,2.12.2021,“Boyfriend” vs “boy friend.” You see that little space? That’s called the friend zone.,2.12.2021  “Boyfriend” vs “boy friend.” You see that little space? That’s called the friend zone.
673,2.11.2021,"Where there’s a will, there’s relatives","2.11.2021  Where there’s a will, there’s relatives"
674,2.10.2021,"You are the dancing queen, young and sweet, now in quarantine","2.10.2021  You are the dancing queen, young and sweet, now in quarantine"
675,2.9.2021,Feelings for you! I’m not telling you which ones.,2.9.2021  Feelings for you! I’m not telling you which ones.
676,2.8.2021,They call me ‘Profen because I be,2.8.2021  They call me ‘Profen because I be
677,2.5.2021,What do you call a hippie’s wife?,2.5.2021  What do you call a hippie’s wife?
678,2.4.2021,I’d like to live through a whole weed that’s not a verse from “We Didn’t Start the Fire”,2.4.2021  I’d like to live through a whole weed that’s not a verse from “We Didn’t Start the Fire”
679,2.3.2021,Jeff Bezos is no longer CEO… I guess he’s just the prime minister,2.3.2021  Jeff Bezos is no longer CEO… I guess he’s just the prime minister
680,2.2.2021,“When COVID’s over” starting to sound a lot like “when Rihanna puts out new music.”,2.2.2021  “When COVID’s over” starting to sound a lot like “when Rihanna puts out new music.”
681,2.1.2021,Happiness is spelled “queso” in Texas,2.1.2021  Happiness is spelled “queso” in Texas
682,1.29.2021,Here’s a question for the mind readers out there,1.29.2021  Here’s a question for the mind readers out there
683,1.28.2021,Sometimes all you need is a full tank of margaritas,1.28.2021  Sometimes all you need is a full tank of margaritas
684,1.27.2021,I used to be a crastinator… but then I decided to go pro,1.27.2021  I used to be a crastinator… but then I decided to go pro
685,1.26.2021,Just realized that cowboys go “yee haw” and ninjas go “hee yaw”,1.26.2021  Just realized that cowboys go “yee haw” and ninjas go “hee yaw”
686,1.25.2021,Me: Skincare!,1.25.2021  Me: Skincare!
687,1.22.2021,Breaking: Leslie Knope confirmed as Secretary of Parks,1.22.2021  Breaking: Leslie Knope confirmed as Secretary of Parks
688,1.21.2021,"If you’re going to be salty, bring the tequila","1.21.2021  If you’re going to be salty, bring the tequila"
689,1.20.2021,Orchestras are just 1800s cover bands,1.20.2021  Orchestras are just 1800s cover bands
690,1.19.2021,Dr: You need to listen to you body more,1.19.2021  Dr: You need to listen to you body more
691,1.18.2021,The 1st person to hear a parrot speak was prolly not ok for several days,1.18.2021  The 1st person to hear a parrot speak was prolly not ok for several days
692,1.15.2021,2022 gonna be my year for sure,1.15.2021  2022 gonna be my year for sure
693,1.14.2021,You just made me laugh so hard tears ran down my leg,1.14.2021  You just made me laugh so hard tears ran down my leg
694,1.13.2021,Welcome to todays episode of “Now What?”,1.13.2021  Welcome to todays episode of “Now What?”
695,1.12.2021,Hell hath no fury like a child whose sibling just pushed the elevator button,1.12.2021  Hell hath no fury like a child whose sibling just pushed the elevator button
696,1.11.2021,"Go home Texas weather, your drunk","1.11.2021  Go home Texas weather, your drunk"
697,1.8.2021,"To me, essential oils are what drips out of tacos","1.8.2021  To me, essential oils are what drips out of tacos"
698,1.7.2021,"I don’t always drink water, but when I do, it’s coffee","1.7.2021  I don’t always drink water, but when I do, it’s coffee"
699,1.6.2021,"I always keep tequila on hand for special occasions. You know, like Tuesday.","1.6.2021  I always keep tequila on hand for special occasions. You know, like Tuesday."
700,1.5.2021,My yoga pants have never been to yoga,1.5.2021  My yoga pants have never been to yoga
701,1.4.2021,Anyone else have no idea what day it is?,1.4.2021  Anyone else have no idea what day it is?
702,12.30.2020,“You’re on mute” – Most used phrase of 2020,12.30.2020  “You’re on mute” – Most used phrase of 2020
703,12.29.2020,"Almost time for that “new year, new me” bullsh*t","12.29.2020  Almost time for that “new year, new me” bullsh*t"
704,12.28.2020,Is anyone else concerned about the season finale of 2020,12.28.2020  Is anyone else concerned about the season finale of 2020
705,12.23.2020,"USPS drivers be like… no delivery date, just vibes","12.23.2020  USPS drivers be like… no delivery date, just vibes"
706,12.22.2020,"Make sure you jingle all the way, no one likes a half assed jingler","12.22.2020  Make sure you jingle all the way, no one likes a half assed jingler"
707,12.21.2020,Almost time to sit in front of a dead tree and eat candy out of socks,12.21.2020  Almost time to sit in front of a dead tree and eat candy out of socks
708,12.18.2020,Walking back to your car because you forgot your mask is a new kina pissed off,12.18.2020  Walking back to your car because you forgot your mask is a new kina pissed off
709,12.17.2020,"Good tidings of cheer, to hell with this year","12.17.2020  Good tidings of cheer, to hell with this year"
710,12.16.2020,I’m dreaming of a white Christmas! But if it runs out I’ll drink the red,12.16.2020  I’m dreaming of a white Christmas! But if it runs out I’ll drink the red
711,12.15.2020,"It was the busta rhymes, it was the wursta rhymes","12.15.2020  It was the busta rhymes, it was the wursta rhymes"
712,12.14.2020,"In a world full of Grinches, be a Cindy Lou Who","12.14.2020  In a world full of Grinches, be a Cindy Lou Who"
713,12.11.2020,"According to my advent calendar, tomorrow is Christmas","12.11.2020  According to my advent calendar, tomorrow is Christmas"
714,12.10.2020,Might sleep on the cough tonight to cut down my morning commute,12.10.2020  Might sleep on the cough tonight to cut down my morning commute
715,12.9.2020,If you see someone crying ask if it’s because of their haircut,12.9.2020  If you see someone crying ask if it’s because of their haircut
716,12.8.2020,I’m planning on having my fave drink tonight! It’s called ‘a lot.’,12.8.2020  I’m planning on having my fave drink tonight! It’s called ‘a lot.’
717,12.7.2020,"When COVID finally ends, you’ll either be a monk, a hunk, a drunk, or a drunk","12.7.2020  When COVID finally ends, you’ll either be a monk, a hunk, a drunk, or a drunk"
718,12.4.2020,Politicians be like “stay home unless you have a private jet.”,12.4.2020  Politicians be like “stay home unless you have a private jet.”
719,12.3.2020,“I’ll just get gas in the morning” is one of the worst decisions you can make,12.3.2020  “I’ll just get gas in the morning” is one of the worst decisions you can make
720,12.2.2020,Cold? Come have a Margarita! You’ll still be cold but at least you’ll have a margarita,12.2.2020  Cold? Come have a Margarita! You’ll still be cold but at least you’ll have a margarita
721,12.1.2020,Fave way to online shop? I just yell out what I want & wait for an ad to pop up,12.1.2020  Fave way to online shop? I just yell out what I want & wait for an ad to pop up
722,11.30.2020,Sorry I’m late! I got here as soon as I wanted to,11.30.2020  Sorry I’m late! I got here as soon as I wanted to
723,11.25.2020,Can’t wait to make a huge Thanksgiving dinner so my kid can eat one roll,11.25.2020  Can’t wait to make a huge Thanksgiving dinner so my kid can eat one roll
724,11.24.2020,Still can’t believe some ppl’s survival instinct told them to grab toilet paper,11.24.2020  Still can’t believe some ppl’s survival instinct told them to grab toilet paper
725,11.23.2020,“Muffins” spelled backwards is what I do after I take them out of the oven,11.23.2020  “Muffins” spelled backwards is what I do after I take them out of the oven
726,11.20.2020,“Stop drunk texting me”,11.20.2020  “Stop drunk texting me”
727,11.19.2020,Wanna see social distancing? Loan somebody some money,11.19.2020  Wanna see social distancing? Loan somebody some money
728,11.18.2020,Just remember when you spill the tea that tea stains,11.18.2020  Just remember when you spill the tea that tea stains
729,11.17.2020,You smell great! What hand sanitizer are you wearing?,11.17.2020  You smell great! What hand sanitizer are you wearing?
730,11.16.2020,The fastest land mammal is a toddler who’s been asked what’s in their mouth,11.16.2020  The fastest land mammal is a toddler who’s been asked what’s in their mouth
731,11.13.2020,"Only 6 dwarves left, Sneezy has been quarantined","11.13.2020  Only 6 dwarves left, Sneezy has been quarantined"
732,11.12.2020,“Social distancing” = boring,11.12.2020  “Social distancing” = boring
733,11.11.2020,Karaoke translation = “fun for me”,11.11.2020  Karaoke translation = “fun for me”
734,11.10.2020,"Somewhere in the sky, Sean Connery and Alex Trebek are playing Jeopardy","11.10.2020  Somewhere in the sky, Sean Connery and Alex Trebek are playing Jeopardy"
735,11.9.2020,Y’all ever ask cauliflower if they wanna be all these things?,11.9.2020  Y’all ever ask cauliflower if they wanna be all these things?
736,11.5.2020,My personal style is best describes as “didn’t expect to get out of the car”,11.5.2020  My personal style is best describes as “didn’t expect to get out of the car”
738,11.4.2020,"I’m not afraid of ghosts, people who like small talk are way scarier","11.4.2020  I’m not afraid of ghosts, people who like small talk are way scarier"
739,11.3.2020,I need a leaf blower but for people,11.3.2020  I need a leaf blower but for people
740,11.2.2020,I have a hard time finishing what I sta–,11.2.2020  I have a hard time finishing what I sta–
741,10.30.2020,"Billy Joe, you will ‘live forever’ in our hearts","10.30.2020  Billy Joe, you will ‘live forever’ in our hearts"
742,10.29.2020,"I’m not anti-social, I’m just really pro-me","10.29.2020  I’m not anti-social, I’m just really pro-me"
743,10.28.2020,Parenting is a lot of getting up once you’ve already sat down,10.28.2020  Parenting is a lot of getting up once you’ve already sat down
744,10.27.2020,13: “I’m the worst #”,10.27.2020  13: “I’m the worst #”
745,10.26.2020,Bro I’m straight up not having a good time right now,10.26.2020  Bro I’m straight up not having a good time right now
746,10.23.2020,I know she ate a worm but we are not here to debate de bait Deb ate,10.23.2020  I know she ate a worm but we are not here to debate de bait Deb ate
747,10.22.2020,Mental note: actual notes work better,10.22.2020  Mental note: actual notes work better
748,10.21.2020,I think my “check liver” light is going to come on soon,10.21.2020  I think my “check liver” light is going to come on soon
749,10.20.2020,Is it too early to put up the xmas tree? I’ve run out of stuff to do,10.20.2020  Is it too early to put up the xmas tree? I’ve run out of stuff to do
750,10.19.2020,"Keto diet? If you mean ta-quito diet, I’m all over that","10.19.2020  Keto diet? If you mean ta-quito diet, I’m all over that"
751,10.16.2020,"So what, is everyone drinking tonight?","10.16.2020  So what, is everyone drinking tonight?"
752,10.15.2020,I am *not* the kind of person you want to put on speakerphone,10.15.2020  I am *not* the kind of person you want to put on speakerphone
753,10.14.2020,We will continue to have meetings until we find out why no work is getting done,10.14.2020  We will continue to have meetings until we find out why no work is getting done
754,10.13.2020,"For kids, the writing really is on the wall","10.13.2020  For kids, the writing really is on the wall"
755,10.12.2020,"We’re all just gonna be socially awkward af after this, huh","10.12.2020  We’re all just gonna be socially awkward af after this, huh"
756,10.9.2020,America has just been one looooong Fyre Fest lately,10.9.2020  America has just been one looooong Fyre Fest lately
757,10.8.2020,Rockstars come & go but musicians play until they die,10.8.2020  Rockstars come & go but musicians play until they die
758,10.7.2020,Boobytrap spelled backwards is partyboob,10.7.2020  Boobytrap spelled backwards is partyboob
759,10.6.2020,One minute you are young and wild and the next you’re into air fryers,10.6.2020  One minute you are young and wild and the next you’re into air fryers
760,10.5.2020,My personal style is best described as “didn’t expect to get out of the car”,10.5.2020  My personal style is best described as “didn’t expect to get out of the car”
761,10.2.2020,"Alright, somebody wake up that guy from Green Day","10.2.2020  Alright, somebody wake up that guy from Green Day"
762,10.1.2020,Well that escalated quickly,10.1.2020  Well that escalated quickly
763,9.30.2020,They need to let Andy Cohen moderate and Presidential debate,9.30.2020  They need to let Andy Cohen moderate and Presidential debate
764,9.29.2020,"Like a good neighbor, stay over there","9.29.2020  Like a good neighbor, stay over there"
765,9.28.2020,Do you wear a mask & glasses? You may be entitled to condensation,9.28.2020  Do you wear a mask & glasses? You may be entitled to condensation
766,9.25.2020,"I’m type A until I drink tequila, then I’m type IDGAF","9.25.2020  I’m type A until I drink tequila, then I’m type IDGAF"
767,9.24.2020,I’ll be glad when 2020 is just a trivia question,9.24.2020  I’ll be glad when 2020 is just a trivia question
768,9.23.2020,"If you aren’t going to vote, raise your hand! Now slap yourself with it","9.23.2020  If you aren’t going to vote, raise your hand! Now slap yourself with it"
769,9.22.2020,Ask yourself if internal monologues are right for you,9.22.2020  Ask yourself if internal monologues are right for you
770,9.21.2020,"Forget “it’s 5 o’clock somewhere,” it’s 2020 everywhere, drink when you want","9.21.2020  Forget “it’s 5 o’clock somewhere,” it’s 2020 everywhere, drink when you want"
771,9.18.2020,Keep yo’ nose in ur mask and out of my business,9.18.2020  Keep yo’ nose in ur mask and out of my business
772,9.17.2020,"Not yet, not yet, not yet, not yet, not yet, not yet, EAT ME NOW!!!!","9.17.2020  Not yet, not yet, not yet, not yet, not yet, not yet, EAT ME NOW!!!!"
773,9.16.2020,Homeschool 2day:,9.16.2020  Homeschool 2day:
774,9.15.2020,Just checking in to say Yikes,9.15.2020  Just checking in to say Yikes
775,9.14.2020,Can we “circle back” to precedented times?,9.14.2020  Can we “circle back” to precedented times?
776,9.11.2020,But I’m worried if I start working out I’ll be *too* sexy,9.11.2020  But I’m worried if I start working out I’ll be *too* sexy
777,9.10.2020,I heard the government is putting chips inside people. I hope I get tortilla chips!,9.10.2020  I heard the government is putting chips inside people. I hope I get tortilla chips!
778,9.9.2020,Best Realtor one liner:,9.9.2020  Best Realtor one liner:
779,9.8.2020,Just had my patience tested! I’m negative,9.8.2020  Just had my patience tested! I’m negative
780,9.4.2020,Covid spelled backwards is Divoc… as in where Divoc is my Margarita?,9.4.2020  Covid spelled backwards is Divoc… as in where Divoc is my Margarita?
781,9.3.2020,Austin Hot Yoga:,9.3.2020  Austin Hot Yoga:
782,9.2.2020,You have successfully made it to the end of August! Welcome to level 9 of Jumanji,9.2.2020  You have successfully made it to the end of August! Welcome to level 9 of Jumanji
783,9.1.2020,"Every time I eat a salad, I’m like “OK, my life better change after this.”","9.1.2020  Every time I eat a salad, I’m like “OK, my life better change after this.”"
784,8.31.2020,List of things ain’t nobody got time for:,8.31.2020  List of things ain’t nobody got time for:
785,8.28.2020,The only thing I can turn on is my laptop,8.28.2020  The only thing I can turn on is my laptop
786,8.27.2020,I miss being at work complaining about not wanting to be at work,8.27.2020  I miss being at work complaining about not wanting to be at work
787,8.26.2020,Man walks into bar: “A Corona and 2 Hurricanes please”,8.26.2020  Man walks into bar: “A Corona and 2 Hurricanes please”
788,8.25.2020,"At this point, if a clown invited me into the woods I’d just go","8.25.2020  At this point, if a clown invited me into the woods I’d just go"
789,8.24.2020,How to date a farmers daughter?,8.24.2020  How to date a farmers daughter?
790,8.21.2020,Quarantine Coffee–,8.21.2020  Quarantine Coffee–
791,8.20.2020,The quickest way to get a kids attention?,8.20.2020  The quickest way to get a kids attention?
792,8.19.2020,"Some days you are the windshield, some days you are the bug","8.19.2020  Some days you are the windshield, some days you are the bug"
793,8.18.2020,Human,8.18.2020  Human
794,8.17.2020,That thing on Sunday where you try to get your whole life together in 12 hours,8.17.2020  That thing on Sunday where you try to get your whole life together in 12 hours
795,8.14.2020,I just realized my trash goes out more than me,8.14.2020  I just realized my trash goes out more than me
796,8.13.2020,I never imagined I’d go up to the Bank Teller with a mask on and ask for money,8.13.2020  I never imagined I’d go up to the Bank Teller with a mask on and ask for money
797,8.12.2020,Ya just gotta take it one “are you f***ing kidding me” at a time,8.12.2020  Ya just gotta take it one “are you f***ing kidding me” at a time
798,8.11.2020,Dog (noun):,8.11.2020  Dog (noun):
799,8.10.2020,Be better than you were yesterday,8.10.2020  Be better than you were yesterday
800,8.7.2020,Day 127 of quarantine… I know all of the lyrics to Hamilton,8.7.2020  Day 127 of quarantine… I know all of the lyrics to Hamilton
801,8.6.2020,"Presidents are temporary, Wu Tang is forever","8.6.2020  Presidents are temporary, Wu Tang is forever"
802,8.5.2020,This sign is operating at 50% capacity,8.5.2020  This sign is operating at 50% capacity
803,8.4.2020,"Stay home if u sicc,","8.4.2020  Stay home if u sicc,"
804,8.3.2020,"People in Texas don’t call it Covid, they just say “with all this sh*t goin’ on”","8.3.2020  People in Texas don’t call it Covid, they just say “with all this sh*t goin’ on”"
805,7.31.2020,Did we skip the Murder Hornets? It feels like we skipped the Murder Hornets.,7.31.2020  Did we skip the Murder Hornets? It feels like we skipped the Murder Hornets.
806,7.30.2020,Me:This show is boring,7.30.2020  Me:This show is boring
807,7.29.2020,Tacos & tequila are the new peanut butter and jelly,7.29.2020  Tacos & tequila are the new peanut butter and jelly
808,7.28.2020,Get in good trouble,7.28.2020  Get in good trouble
809,7.27.2020,Tesla,7.27.2020  Tesla
810,7.24.2020,Person,7.24.2020  Person
811,7.23.2020,"Born to eat cheese, forced to work","7.23.2020  Born to eat cheese, forced to work"
812,7.22.2020,Hate when I go out in public and the public is there,7.22.2020  Hate when I go out in public and the public is there
813,7.21.2020,The buttons on my jeans are taking this social distance thing too far,7.21.2020  The buttons on my jeans are taking this social distance thing too far
814,7.20.2020,"No, *you* have a playlist just for crying","7.20.2020  No, *you* have a playlist just for crying"
815,7.17.2020,One-way grocery aisles need a passing lane,7.17.2020  One-way grocery aisles need a passing lane
816,7.16.2020,What’s your favorite food and why is it queso?,7.16.2020  What’s your favorite food and why is it queso?
817,7.15.2020,Man with Corona seeks Woman with Lyme,7.15.2020  Man with Corona seeks Woman with Lyme
818,7.14.2020,What did the drummer name his twin daughters?,7.14.2020  What did the drummer name his twin daughters?
819,7.13.2020,Y’all married people holding up ok? I haven’t seen “I’m so blessed” in awhile,7.13.2020  Y’all married people holding up ok? I haven’t seen “I’m so blessed” in awhile
820,7.10.2020,It’ll be O Que-So let’s have a margarita,7.10.2020  It’ll be O Que-So let’s have a margarita
821,7.9.2020,2019: Avoid negative people,7.9.2020  2019: Avoid negative people
822,7.8.2020,Wait so are we purchasing school clothes or more alcohol for August,7.8.2020  Wait so are we purchasing school clothes or more alcohol for August
823,7.7.2020,Is getting on the ballot really that yeezy?,7.7.2020  Is getting on the ballot really that yeezy?
824,7.6.2020,"As summer arrives, do we bust out our shorts or cut the legs off our PJs?","7.6.2020  As summer arrives, do we bust out our shorts or cut the legs off our PJs?"
825,7.2.2020,I don’t need the “previously on…” I’ve been watching this show for 10 hours.,7.2.2020  I don’t need the “previously on…” I’ve been watching this show for 10 hours.
826,7.1.2020,Taking a break from my mental health to focus on social media,7.1.2020  Taking a break from my mental health to focus on social media
827,6.30.2020,"Due to current guidelines, your milkshake can bring 9 boys to the yard, max","6.30.2020  Due to current guidelines, your milkshake can bring 9 boys to the yard, max"
828,6.29.2020,What are you supposed to do? Like in general?,6.29.2020  What are you supposed to do? Like in general?
829,6.26.2020,2020… It all started with a chicken sandwich,6.26.2020  2020… It all started with a chicken sandwich
830,6.25.2020,I would not survive a vibe check right now,6.25.2020  I would not survive a vibe check right now
831,6.24.2020,Cleaning is just putting stuff in less obvious places,6.24.2020  Cleaning is just putting stuff in less obvious places
832,6.23.2020,Being nice is so easy just do it,6.23.2020  Being nice is so easy just do it
833,6.22.2020,"It’s not a dad bod, it’s a father figure","6.22.2020  It’s not a dad bod, it’s a father figure"
834,6.19.2020,"No, we don’t use that room, there was once a spider in it.","6.19.2020  No, we don’t use that room, there was once a spider in it."
835,6.18.2020,Be the Mr. Rogers of your neighborhood,6.18.2020  Be the Mr. Rogers of your neighborhood
836,6.17.2020,I wish I could wear Instagram filters out in public,6.17.2020  I wish I could wear Instagram filters out in public
837,6.16.2020,Coming up next of this season of 2020…,6.16.2020  Coming up next of this season of 2020…
838,6.15.2020,Singular:,6.15.2020  Singular:
